;gold set_format problem;range problem;only one answer instead of two;highest number instead of highest value name;random;problem at reading labels;Reading Tree structure (how many branches there are.. connectionsâ€¦);stupid error: reading color of big pie chart
;1a8351965a28d3dde08570e570d274ae;1be27d9ff404ca5b2c8b7305c776f909;0b3051419a5c47f6151c4c5e542982fc;0cdf9e4df33ad155cb6d52d060e3777f;0b9544917217a248336cd4f743420828;1c47ba0841d67050724db7b8d96fd8e2;fcd141f6fea081fcce2b0de579364949;fcbabcb28d0cc02d253ba7b1025764d2
;1add1818606f1f6d3d0f34b418152d73;1b67288bc1aa3b25eae0c168e7ba567e;2f9bdc2700c9e737fa9bb1a292248027;1a1053dc48a7ef59f49d15d5a0b7e422;1a65ef346fda160147fc6f0c1d8c7144;1f0821e4e47dc43aadb4c0218d3e7f3e;;
;0efcf2b228cd26d1be646db5a36d7669;1be27d9ff404ca5b2c8b7305c776f909;;02c4ad8273362d921150bbe7471f4ccb;2c4601603b5bb74fe7f764c83fb3ccda;;;
;1c674ccc15db7300c634e9456d82b914;1c674ccc15db7300c634e9456d82b914;;;02d99d694f8f9a7947f5df7d959a9d4a;;;
;1cdbcf54e04d258780bd055fbcaeeff6;1cc06c63415a6196bf1810ca5da921df;;;ff22199f98c838c4805b4e0994f76780;;;
;1fb063e8dc6afa7eccf1e5e09d0da7a9;2c82941b228c3466e9a21fb12532efce;;;feb10c48fd2cfa935bbf2fd1476219ea;;;
;2a8627e1b5ec1041dea7279ee3e7e2cb;fdb3919ff0a591d84a392ba71a84698d;;;fd5e0acd837512d09d2e9206a15abcde;;;
;2c1f4f17bddfc6628a79a9c8c74e5496;;;;fcbabcb28d0cc02d253ba7b1025764d2;;;
;2c1284ab327152c61ce4d05b5a89abd9;;;;;;;
;2c82941b228c3466e9a21fb12532efce;;;;;;;
;2ebdefe86965265f23ea00cd9e6d5580;;;;;;;
;fef9bdb1fb874e19865e927397e2561b;;;;;;;
;fdb3919ff0a591d84a392ba71a84698d;;;;;;;
